;PWL;TYPE;L2 English;L3 German;L4 French;L5 Swedish;L6 Danish;L7 Norwegian;L8 Finnish;L9 Italian;L10;L11;L12;L13;L14
PWL;;;;;;;;;;;;;;;
g_MCfg.SensorFilterTime;1;0;[T] SensorFilterTime;[T] SensorFilterTime;[T] SensorFilterTime;[T] SensorFilterTime;[T] SensorFilterTime;[T] SensorFilterTime;[T] SensorFilterTime;[T] SensorFilterTime;[T] SensorFilterTime;[T] SensorFilterTime;[T] SensorFilterTime;[T] SensorFilterTime;[T] SensorFilterTime
g_MCfg.SensorOverTime;2;0;[T] SensorOverTime;[T] SensorOverTime;[T] SensorOverTime;[T] SensorOverTime;[T] SensorOverTime;[T] SensorOverTime;[T] SensorOverTime;[T] SensorOverTime;[T] SensorOverTime;[T] SensorOverTime;[T] SensorOverTime;[T] SensorOverTime;[T] SensorOverTime
g_MCfg.MotorSwitchTime;3;0;[T] MotorSwitchTime;[T] MotorSwitchTime;[T] MotorSwitchTime;[T] MotorSwitchTime;[T] MotorSwitchTime;[T] MotorSwitchTime;[T] MotorSwitchTime;[T] MotorSwitchTime;[T] MotorSwitchTime;[T] MotorSwitchTime;[T] MotorSwitchTime;[T] MotorSwitchTime;[T] MotorSwitchTime
g_MCfg.ConveyorRunTime;4;0;[T] ConveyorRunTime;[T] ConveyorRunTime;[T] ConveyorRunTime;[T] ConveyorRunTime;[T] ConveyorRunTime;[T] ConveyorRunTime;[T] ConveyorRunTime;[T] ConveyorRunTime;[T] ConveyorRunTime;[T] ConveyorRunTime;[T] ConveyorRunTime;[T] ConveyorRunTime;[T] ConveyorRunTime
g_MCfg.DelayStartTime;5;0;[T] DelayStartTime;[T] DelayStartTime;[T] DelayStartTime;[T] DelayStartTime;[T] DelayStartTime;[T] DelayStartTime;[T] DelayStartTime;[T] DelayStartTime;[T] DelayStartTime;[T] DelayStartTime;[T] DelayStartTime;[T] DelayStartTime;[T] DelayStartTime
g_MCfg.StatisticStackOrSection;6;0;[T] StatisticStackOrSection;[T] StatisticStackOrSection;[T] StatisticStackOrSection;[T] StatisticStackOrSection;[T] StatisticStackOrSection;[T] StatisticStackOrSection;[T] StatisticStackOrSection;[T] StatisticStackOrSection;[T] StatisticStackOrSection;[T] StatisticStackOrSection;[T] StatisticStackOrSection;[T] StatisticStackOrSection;[T] StatisticStackOrSection
g_MCfg.MultiBlowPules;7;0;[T] MultiBlowPules;[T] MultiBlowPules;[T] MultiBlowPules;[T] MultiBlowPules;[T] MultiBlowPules;[T] MultiBlowPules;[T] MultiBlowPules;[T] MultiBlowPules;[T] MultiBlowPules;[T] MultiBlowPules;[T] MultiBlowPules;[T] MultiBlowPules;[T] MultiBlowPules
g_MCfg.Inlet.NoReadAlarm;8;0;[T] Inlet:NoReadAlarm;[T] Inlet:NoReadAlarm;[T] Inlet:NoReadAlarm;[T] Inlet:NoReadAlarm;[T] Inlet:NoReadAlarm;[T] Inlet:NoReadAlarm;[T] Inlet:NoReadAlarm;[T] Inlet:NoReadAlarm;[T] Inlet:NoReadAlarm;[T] Inlet:NoReadAlarm;[T] Inlet:NoReadAlarm;[T] Inlet:NoReadAlarm;[T] Inlet:NoReadAlarm
g_MCfg.Inlet.OnePhotocellShirtDetect;9;0;[T] Inlet:OnePhotocellShirtDetect;[T] Inlet:OnePhotocellShirtDetect;[T] Inlet:OnePhotocellShirtDetect;[T] Inlet:OnePhotocellShirtDetect;[T] Inlet:OnePhotocellShirtDetect;[T] Inlet:OnePhotocellShirtDetect;[T] Inlet:OnePhotocellShirtDetect;[T] Inlet:OnePhotocellShirtDetect;[T] Inlet:OnePhotocellShirtDetect;[T] Inlet:OnePhotocellShirtDetect;[T] Inlet:OnePhotocellShirtDetect;[T] Inlet:OnePhotocellShirtDetect;[T] Inlet:OnePhotocellShirtDetect
g_MCfg.Inlet.CheckShirtDelay;10;0;[T] Inlet:CheckShirtDelay;[T] Inlet:CheckShirtDelay;[T] Inlet:CheckShirtDelay;[T] Inlet:CheckShirtDelay;[T] Inlet:CheckShirtDelay;[T] Inlet:CheckShirtDelay;[T] Inlet:CheckShirtDelay;[T] Inlet:CheckShirtDelay;[T] Inlet:CheckShirtDelay;[T] Inlet:CheckShirtDelay;[T] Inlet:CheckShirtDelay;[T] Inlet:CheckShirtDelay;[T] Inlet:CheckShirtDelay
g_MCfg.Inlet.CheckShirtOnTime;11;0;[T] Inlet:CheckShirtOnTime;[T] Inlet:CheckShirtOnTime;[T] Inlet:CheckShirtOnTime;[T] Inlet:CheckShirtOnTime;[T] Inlet:CheckShirtOnTime;[T] Inlet:CheckShirtOnTime;[T] Inlet:CheckShirtOnTime;[T] Inlet:CheckShirtOnTime;[T] Inlet:CheckShirtOnTime;[T] Inlet:CheckShirtOnTime;[T] Inlet:CheckShirtOnTime;[T] Inlet:CheckShirtOnTime;[T] Inlet:CheckShirtOnTime
g_MCfg.Inlet.GarmentDetectTimeout;12;0;[T] Inlet:GarmentDetectTimeout;[T] Inlet:GarmentDetectTimeout;[T] Inlet:GarmentDetectTimeout;[T] Inlet:GarmentDetectTimeout;[T] Inlet:GarmentDetectTimeout;[T] Inlet:GarmentDetectTimeout;[T] Inlet:GarmentDetectTimeout;[T] Inlet:GarmentDetectTimeout;[T] Inlet:GarmentDetectTimeout;[T] Inlet:GarmentDetectTimeout;[T] Inlet:GarmentDetectTimeout;[T] Inlet:GarmentDetectTimeout;[T] Inlet:GarmentDetectTimeout
g_MCfg.Inlet.DelayInletMotor;13;0;[T] Inlet:DelayInletMotor;[T] Inlet:DelayInletMotor;[T] Inlet:DelayInletMotor;[T] Inlet:DelayInletMotor;[T] Inlet:DelayInletMotor;[T] Inlet:DelayInletMotor;[T] Inlet:DelayInletMotor;[T] Inlet:DelayInletMotor;[T] Inlet:DelayInletMotor;[T] Inlet:DelayInletMotor;[T] Inlet:DelayInletMotor;[T] Inlet:DelayInletMotor;[T] Inlet:DelayInletMotor
g_MCfg.Inlet.RunTimeTC1Start;14;0;[T] Inlet:RunTimeTC1Start;[T] Inlet:RunTimeTC1Start;[T] Inlet:RunTimeTC1Start;[T] Inlet:RunTimeTC1Start;[T] Inlet:RunTimeTC1Start;[T] Inlet:RunTimeTC1Start;[T] Inlet:RunTimeTC1Start;[T] Inlet:RunTimeTC1Start;[T] Inlet:RunTimeTC1Start;[T] Inlet:RunTimeTC1Start;[T] Inlet:RunTimeTC1Start;[T] Inlet:RunTimeTC1Start;[T] Inlet:RunTimeTC1Start
g_MCfg.Inlet.OverallFunction;15;0;[T] Inlet:OverallFunction;[T] Inlet:OverallFunction;[T] Inlet:OverallFunction;[T] Inlet:OverallFunction;[T] Inlet:OverallFunction;[T] Inlet:OverallFunction;[T] Inlet:OverallFunction;[T] Inlet:OverallFunction;[T] Inlet:OverallFunction;[T] Inlet:OverallFunction;[T] Inlet:OverallFunction;[T] Inlet:OverallFunction;[T] Inlet:OverallFunction
g_MCfg.Inlet.OverallDetectionOnDelay;16;0;[T] Inlet:OverallDetectionOnDelay;[T] Inlet:OverallDetectionOnDelay;[T] Inlet:OverallDetectionOnDelay;[T] Inlet:OverallDetectionOnDelay;[T] Inlet:OverallDetectionOnDelay;[T] Inlet:OverallDetectionOnDelay;[T] Inlet:OverallDetectionOnDelay;[T] Inlet:OverallDetectionOnDelay;[T] Inlet:OverallDetectionOnDelay;[T] Inlet:OverallDetectionOnDelay;[T] Inlet:OverallDetectionOnDelay;[T] Inlet:OverallDetectionOnDelay;[T] Inlet:OverallDetectionOnDelay
g_MCfg.Inlet.OverallCenterDelay;17;0;[T] Inlet:OverallCenterDelay;[T] Inlet:OverallCenterDelay;[T] Inlet:OverallCenterDelay;[T] Inlet:OverallCenterDelay;[T] Inlet:OverallCenterDelay;[T] Inlet:OverallCenterDelay;[T] Inlet:OverallCenterDelay;[T] Inlet:OverallCenterDelay;[T] Inlet:OverallCenterDelay;[T] Inlet:OverallCenterDelay;[T] Inlet:OverallCenterDelay;[T] Inlet:OverallCenterDelay;[T] Inlet:OverallCenterDelay
g_MCfg.Inlet.OverallCenterOnTime;18;0;[T] Inlet:OverallCenterOnTime;[T] Inlet:OverallCenterOnTime;[T] Inlet:OverallCenterOnTime;[T] Inlet:OverallCenterOnTime;[T] Inlet:OverallCenterOnTime;[T] Inlet:OverallCenterOnTime;[T] Inlet:OverallCenterOnTime;[T] Inlet:OverallCenterOnTime;[T] Inlet:OverallCenterOnTime;[T] Inlet:OverallCenterOnTime;[T] Inlet:OverallCenterOnTime;[T] Inlet:OverallCenterOnTime;[T] Inlet:OverallCenterOnTime
g_MCfg.Inlet.FlapTrouserFilterMs;19;0;[T] Inlet:FlapTrouserFilterMs;[T] Inlet:FlapTrouserFilterMs;[T] Inlet:FlapTrouserFilterMs;[T] Inlet:FlapTrouserFilterMs;[T] Inlet:FlapTrouserFilterMs;[T] Inlet:FlapTrouserFilterMs;[T] Inlet:FlapTrouserFilterMs;[T] Inlet:FlapTrouserFilterMs;[T] Inlet:FlapTrouserFilterMs;[T] Inlet:FlapTrouserFilterMs;[T] Inlet:FlapTrouserFilterMs;[T] Inlet:FlapTrouserFilterMs;[T] Inlet:FlapTrouserFilterMs
g_MCfg.Inlet.WaitFlapTrsPlateClosedTime;20;0;[T] Inlet:WaitFlapTrsPlateClosedTime;[T] Inlet:WaitFlapTrsPlateClosedTime;[T] Inlet:WaitFlapTrsPlateClosedTime;[T] Inlet:WaitFlapTrsPlateClosedTime;[T] Inlet:WaitFlapTrsPlateClosedTime;[T] Inlet:WaitFlapTrsPlateClosedTime;[T] Inlet:WaitFlapTrsPlateClosedTime;[T] Inlet:WaitFlapTrsPlateClosedTime;[T] Inlet:WaitFlapTrsPlateClosedTime;[T] Inlet:WaitFlapTrsPlateClosedTime;[T] Inlet:WaitFlapTrsPlateClosedTime;[T] Inlet:WaitFlapTrsPlateClosedTime;[T] Inlet:WaitFlapTrsPlateClosedTime
g_MCfg.Inlet.WaitFlapTrsDetectTime;21;0;[T] Inlet:WaitFlapTrsDetectTime;[T] Inlet:WaitFlapTrsDetectTime;[T] Inlet:WaitFlapTrsDetectTime;[T] Inlet:WaitFlapTrsDetectTime;[T] Inlet:WaitFlapTrsDetectTime;[T] Inlet:WaitFlapTrsDetectTime;[T] Inlet:WaitFlapTrsDetectTime;[T] Inlet:WaitFlapTrsDetectTime;[T] Inlet:WaitFlapTrsDetectTime;[T] Inlet:WaitFlapTrsDetectTime;[T] Inlet:WaitFlapTrsDetectTime;[T] Inlet:WaitFlapTrsDetectTime;[T] Inlet:WaitFlapTrsDetectTime
g_MCfg.Inlet.FlapTrousersMiddle3OnDelay;22;0;[T] Inlet:FlapTrousersMiddle3OnDelay;[T] Inlet:FlapTrousersMiddle3OnDelay;[T] Inlet:FlapTrousersMiddle3OnDelay;[T] Inlet:FlapTrousersMiddle3OnDelay;[T] Inlet:FlapTrousersMiddle3OnDelay;[T] Inlet:FlapTrousersMiddle3OnDelay;[T] Inlet:FlapTrousersMiddle3OnDelay;[T] Inlet:FlapTrousersMiddle3OnDelay;[T] Inlet:FlapTrousersMiddle3OnDelay;[T] Inlet:FlapTrousersMiddle3OnDelay;[T] Inlet:FlapTrousersMiddle3OnDelay;[T] Inlet:FlapTrousersMiddle3OnDelay;[T] Inlet:FlapTrousersMiddle3OnDelay
g_MCfg.Inlet.FlapTrousersMiddle2OnDelay;23;0;[T] Inlet:FlapTrousersMiddle2OnDelay;[T] Inlet:FlapTrousersMiddle2OnDelay;[T] Inlet:FlapTrousersMiddle2OnDelay;[T] Inlet:FlapTrousersMiddle2OnDelay;[T] Inlet:FlapTrousersMiddle2OnDelay;[T] Inlet:FlapTrousersMiddle2OnDelay;[T] Inlet:FlapTrousersMiddle2OnDelay;[T] Inlet:FlapTrousersMiddle2OnDelay;[T] Inlet:FlapTrousersMiddle2OnDelay;[T] Inlet:FlapTrousersMiddle2OnDelay;[T] Inlet:FlapTrousersMiddle2OnDelay;[T] Inlet:FlapTrousersMiddle2OnDelay;[T] Inlet:FlapTrousersMiddle2OnDelay
g_MCfg.Inlet.FlapTrousersMiddle1OnDelay;24;0;[T] Inlet:FlapTrousersMiddle1OnDelay;[T] Inlet:FlapTrousersMiddle1OnDelay;[T] Inlet:FlapTrousersMiddle1OnDelay;[T] Inlet:FlapTrousersMiddle1OnDelay;[T] Inlet:FlapTrousersMiddle1OnDelay;[T] Inlet:FlapTrousersMiddle1OnDelay;[T] Inlet:FlapTrousersMiddle1OnDelay;[T] Inlet:FlapTrousersMiddle1OnDelay;[T] Inlet:FlapTrousersMiddle1OnDelay;[T] Inlet:FlapTrousersMiddle1OnDelay;[T] Inlet:FlapTrousersMiddle1OnDelay;[T] Inlet:FlapTrousersMiddle1OnDelay;[T] Inlet:FlapTrousersMiddle1OnDelay
