;PW. LEVEL;TYPE;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99
PW. LEVEL;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
g_RCfg.Name;X;STRING;T-Shirt;Microfibe T-Shirt;Short Jacket;Thick Short Jacket;Thick Trousers;Sloven;Patient T-Shirt;Microfibe Patient T-Shi;Jacket light;Short Jacket;Trousers;Long Jacket;Overall;Shorts;Operation coat;Microfibe Operation coa;Thick Coat;Coat;Microfibe Casaque;Short Jacket;Trouser;Long Jacket;Overall;Thick Shorts;Shorts;Microfibe 2X < Trousers; Trousers Thick 1<2;Microfibe Trousers 1/3;Trousers  1/3 WB undern;Bib Overall;Other Trousers;Other Trosuers 2;Bib Overalls light;Bib Overalls thick ;Coverall light;Thick Overall;Vest;Shorts;Thick Trousers;Short Jacket;Trouser;Long Jacket;Overall;Micro 1/3 T;Micro 1/3;Micro 1/4;Universal 1/2;Universal 1/3;Universal 1/4;Trouser;Long Jacket;Overall;0;0;0;0;0;1X;FF;Short Jacket;Long Jacket;FF <;2X <;Coat;T-Shirt;Thin Jacket;Thick Jacket;Patient Gowns S;Patient Gowns XXL;Scrub Tops XXL;Scrub Pants XXL;Xtra Heavy;;;Towel;Towel;Towel;Towel;Micro 1/2;Short Jacket;Trouser;Long Jacket;Overall;Universal 1/3;Universal 1/4;Trousers Fix;;Trousers Fix;;Microfibe Jacket light;Kittel 3'4 Arm;;;;Shorts - No-Read;Short Jacket - No-Read;Trousers - No-Read;Long Jacket - No-Read;Overall - No-Read
g_RCfg.NoFlowTimeout;X;UDINT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
g_RCfg.Extra1;X;UINT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
g_RCfg.Extra2;X;UINT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
g_RCfg.Extra3;X;UINT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
g_RCfg.SelectedStack;X;UINT;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
g_RCfg.Lateral.FoldMode;X;USINT;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
g_RCfg.Lateral.StartDelayLeftBlade;X;UINT;600;600;600;600;600;600;600;600;600;600;650;650;600;600;600;550;600;600;600;550;600;550;550;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;550;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;650;650;600
g_RCfg.Lateral.OnTimeLeftBlade;X;UINT;480;480;500;500;500;500;500;480;500;480;0;480;480;500;500;480;500;500;500;480;0;480;480;500;0;0;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;480;500;500;500;500;500;500;500;500;480;480;480;480;500;500;500;500;500;500;500;500;500;480;500;500;500;500;500;500;500;500;500;500;500;500;500;480;500;480;500;500;500;500;500;500;0;480;0;480;500
g_RCfg.Lateral.StartDelayRightBlade;X;UINT;200;200;200;200;200;200;200;200;200;175;200;175;175;200;200;200;200;200;200;200;200;200;200;200;150;200;0;0;0;200;0;0;200;200;200;200;100;100;200;200;200;200;200;0;200;200;100;100;200;200;200;200;500;500;500;500;500;150;200;200;200;200;400;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;100;200;0;0;0;200;200;200;200;200;200;50;175;200;175;175
g_RCfg.Lateral.OnTimeRightBlade;X;UINT;480;480;500;500;500;500;500;480;500;480;0;480;480;500;500;480;500;500;500;480;0;480;480;500;0;0;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;480;500;500;500;500;500;500;500;500;480;480;480;480;500;500;500;500;500;500;500;500;500;480;500;500;500;500;500;500;500;500;500;500;500;500;500;480;500;480;500;500;500;500;500;500;0;480;0;480;500
g_RCfg.Lateral.WidthFirst;X;UINT;220;200;170;230;240;210;200;220;230;210;140;230;250;240;220;220;220;210;210;230;140;230;260;240;240;260;180;180;210;200;200;200;170;250;210;240;80;90;200;170;190;200;200;200;200;200;200;200;200;190;200;240;200;200;200;200;200;190;150;170;200;200;200;210;200;230;240;190;190;190;190;250;250;220;200;200;200;200;200;170;190;200;200;200;200;200;200;200;240;230;260;210;220;260;240;200;260;220;260
g_RCfg.Lateral.WidthLast;X;UINT;200;200;170;230;240;210;210;240;250;220;140;240;260;240;250;230;230;220;220;240;140;240;280;240;240;260;180;180;210;180;200;200;190;250;210;240;90;90;180;170;210;180;200;200;200;200;200;200;200;210;180;240;250;250;250;250;250;210;170;170;180;200;200;220;200;250;240;220;220;220;210;280;260;250;200;200;200;200;200;170;210;180;200;200;200;200;200;200;230;250;250;210;220;270;240;220;260;240;280
g_RCfg.Lateral.BladeBackTime;X;UINT;250;250;0;100;250;250;200;100;250;250;250;250;250;250;250;250;100;250;250;250;250;250;250;250;250;250;250;250;0;250;0;0;250;250;250;250;0;0;250;0;250;250;100;0;200;200;100;100;250;250;250;100;65506;65506;65506;65506;65506;400;400;0;250;500;150;200;100;250;250;250;250;250;250;250;100;100;250;100;250;250;200;0;250;250;100;100;250;0;0;0;100;250;100;100;100;100;50;250;100;250;250
g_RCfg.Lateral.FoldDistance;X;INT;-50;-50;20;-50;-150;-40;-50;-30;-50;-20;-50;-40;-20;-40;50;-20;-50;0;0;-50;-50;-40;-70;-50;-30;-80;0;0;-30;10;-160;35;20;-60;40;-100;0;-50;-70;0;0;-30;0;20;0;35;0;0;0;0;-30;-100;1;1;1;1;1;0;0;40;-30;0;0;0;-30;0;20;0;0;0;0;-50;30;0;0;0;0;-50;20;40;0;-30;0;0;0;-30;-30;-10;-30;0;30;0;40;30;-50;-50;-30;-20;0
